profissional,dia,turno,setor
0,0,1,3
0,2,0,4
0,3,0,0
0,4,1,2
0,5,0,3
0,6,1,3
0,7,2,4
0,8,1,0
0,10,0,0
0,11,0,4
0,12,1,0
0,13,0,4
0,14,1,5
0,15,0,3
0,16,0,0
0,17,0,0
0,18,2,0
0,19,2,0
0,21,0,0
0,24,0,3
0,25,0,0
0,26,0,0
0,27,0,4
0,28,2,2
1,1,0,4
1,2,0,0
1,3,0,2
1,4,0,4
1,5,0,0
1,6,0,2
1,7,0,2
1,8,0,0
1,9,0,0
1,10,0,3
1,11,0,0
1,13,0,5
1,14,0,5
1,15,0,4
1,16,1,0
1,17,0,4
1,18,0,0
1,19,0,0
1,20,0,5
1,21,0,4
1,22,2,5
1,24,0,0
1,25,0,5
1,26,0,2
1,27,0,0
1,28,0,0
1,29,0,0
2,0,0,0
2,1,0,0
2,2,1,3
2,3,1,0
2,4,1,0
2,5,0,1
2,6,0,3
2,7,2,0
2,11,1,0
2,12,0,5
2,13,1,1
2,14,0,1
2,15,1,4
2,16,2,3
2,17,1,0
2,18,1,5
2,19,1,5
2,20,0,0
2,21,1,4
2,22,0,0
2,23,0,0
2,24,1,0
2,25,0,4
2,26,0,0
2,27,2,0
2,28,1,0
3,0,1,3
3,1,1,0
3,2,0,1
3,3,1,0
3,4,1,3
3,5,2,5
3,6,1,0
3,7,1,0
3,8,1,5
3,9,1,3
3,10,1,3
3,11,1,1
3,12,1,3
3,14,0,0
3,15,1,0
3,16,0,4
3,17,0,0
3,18,1,0
3,19,1,0
3,22,0,4
3,24,2,2
3,25,1,4
3,27,1,0
3,28,1,5
3,29,0,1
4,0,0,5
4,1,1,4
4,2,1,0
4,3,2,0
4,4,2,1
4,5,2,0
4,6,2,4
4,7,1,0
4,8,0,3
4,9,0,3
4,10,1,0
4,11,1,5
4,12,2,5
4,13,2,0
4,14,2,0
4,15,2,0
4,17,1,3
4,18,2,0
4,19,1,4
4,20,0,0
4,21,1,0
4,23,2,0
4,24,2,0
4,25,1,3
4,26,2,1
4,28,0,4
4,29,1,1
5,0,0,1
5,1,1,0
5,2,2,0
5,3,2,0
5,4,2,0
5,5,2,0
5,7,2,0
5,8,2,3
5,9,2,3
5,11,2,4
5,12,2,2
5,14,2,1
5,15,2,0
5,17,2,0
5,18,2,2
5,19,2,0
5,20,1,5
5,21,2,2
5,22,1,0
5,23,0,0
5,25,2,0
5,27,2,5
5,28,2,0
5,29,2,1
6,0,2,5
6,1,2,1
6,2,2,0
6,3,1,4
6,4,0,0
6,6,2,0
6,7,2,3
6,8,2,5
6,9,2,2
6,11,2,5
6,12,2,0
6,13,1,0
6,14,1,3
6,15,0,1
6,16,2,0
6,17,1,0
6,18,0,1
6,19,0,1
6,20,2,0
6,21,2,0
6,22,2,2
6,23,1,3
6,24,0,4
6,25,1,2
6,26,2,0
6,27,2,5
6,28,2,2
7,0,2,4
7,2,0,3
7,3,0,4
7,4,0,1
7,5,0,1
7,6,0,1
7,7,0,4
7,8,2,2
7,9,2,0
7,10,2,4
7,11,2,0
7,13,0,3
7,14,1,3
7,15,1,3
7,16,0,3
7,17,0,3
7,18,0,4
7,19,1,2
7,20,1,2
7,21,0,1
7,22,1,3
7,23,2,5
7,24,2,4
7,26,1,5
7,27,0,1
7,28,0,1
7,29,2,3
8,0,1,4
8,1,2,0
8,2,1,5
8,3,1,1
8,4,0,3
8,5,1,5
8,6,0,5
8,7,1,2
8,9,2,5
8,10,1,0
8,11,0,1
8,12,0,1
8,14,0,3
8,15,0,4
8,16,0,5
8,17,0,1
8,18,2,4
8,19,1,1
8,21,0,3
8,22,2,0
8,23,1,0
8,25,1,1
8,26,2,0
8,27,1,3
8,28,1,1
8,29,2,0
9,0,1,1
9,1,0,5
9,2,1,1
9,3,1,3
9,4,0,0
9,5,0,4
9,7,1,4
9,8,0,4
9,9,2,0
9,11,0,5
9,12,2,3
9,13,2,5
9,14,1,1
9,15,0,5
9,16,0,1
9,17,2,5
9,19,1,3
9,20,2,0
9,21,1,5
9,22,0,0
9,23,1,5
9,24,0,1
9,26,0,1
9,28,0,3
9,29,0,1
10,0,1,1
10,1,0,3
10,2,2,2
10,3,1,3
10,4,0,4
10,5,2,3
10,6,1,1
10,7,1,3
10,8,1,2
10,9,0,4
10,10,2,1
10,11,2,3
10,12,2,1
10,15,1,1
10,16,2,4
10,17,1,3
10,18,1,1
10,19,0,4
10,20,0,1
10,21,1,2
10,22,1,4
10,23,2,0
10,24,1,3
10,26,1,4
10,27,0,3
10,28,1,1
10,29,0,2
11,0,2,3
11,2,2,5
11,3,2,1
11,4,1,4
11,5,1,1
11,6,1,3
11,7,1,1
11,8,0,4
11,9,0,1
11,10,2,2
11,12,1,0
11,13,0,1
11,14,0,4
11,15,2,1
11,16,1,1
11,17,2,4
11,18,1,1
11,19,1,3
11,20,0,4
11,21,0,1
11,22,0,5
11,25,2,0
11,26,1,3
11,27,1,5
11,28,0,2
11,29,1,0
12,0,1,0
12,2,2,4
12,3,2,3
12,4,2,2
12,5,1,4
12,6,1,5
12,7,1,3
12,8,1,1
12,9,2,2
12,10,1,5
12,11,2,0
12,12,1,1
12,13,0,1
12,14,1,1
12,15,1,1
12,16,1,3
12,17,1,4
12,18,1,0
12,19,2,1
12,20,1,1
12,23,0,5
12,24,2,3
12,25,1,3
12,26,2,5
12,27,2,3
12,28,2,4
13,0,1,0
13,1,0,1
13,2,2,1
13,3,2,2
13,6,0,0
13,7,0,0
13,8,1,4
13,9,0,0
13,11,2,2
13,12,2,1
13,13,1,1
13,14,2,1
13,15,1,5
13,16,1,5
13,17,1,2
13,18,0,0
13,19,0,5
13,20,2,2
13,21,1,1
13,22,0,1
13,23,2,4
13,24,1,1
13,25,0,3
13,26,1,1
13,28,2,1
13,29,1,1
14,0,2,2
14,1,1,1
14,2,0,2
14,3,1,1
14,4,1,1
14,5,2,1
14,6,1,0
14,8,2,0
14,9,1,1
14,10,0,1
14,11,1,1
14,12,0,0
14,13,0,4
14,14,1,4
14,16,0,4
14,17,2,1
14,19,2,1
14,20,1,3
14,21,1,3
14,22,0,3
14,23,1,4
14,24,0,5
14,25,2,1
14,26,1,1
14,27,1,1
14,28,0,4
14,29,1,3
15,0,0,2
15,1,1,1
15,2,1,2
15,3,0,1
15,4,1,5
15,5,2,2
15,6,2,1
15,7,2,1
15,8,2,1
15,9,1,4
15,10,0,0
15,11,0,2
15,12,1,1
15,13,2,1
15,15,0,0
15,17,2,2
15,18,1,2
15,19,0,4
15,20,0,4
15,21,2,0
15,22,2,0
15,23,1,0
15,28,1,2
15,29,0,4
16,0,0,4
16,1,0,1
16,3,0,5
16,4,0,1
16,5,0,2
16,6,0,4
16,7,0,1
16,8,2,0
16,9,1,0
16,10,2,0
16,11,2,2
16,12,2,0
16,13,2,2
16,14,1,0
16,15,0,2
16,16,2,1
16,17,2,1
16,18,2,2
16,19,2,4
16,21,1,1
16,22,1,5
16,23,1,2
16,24,1,5
16,25,1,5
16,26,0,4
16,27,1,4
16,29,0,0
17,0,1,2
17,1,0,2
17,2,1,0
17,3,2,5
17,4,1,0
17,5,0,0
17,6,0,0
17,7,0,4
17,8,0,1
17,9,2,1
17,10,1,2
17,11,1,3
17,12,0,2
17,13,0,0
17,14,0,1
17,15,0,1
17,17,2,5
17,19,2,5
17,20,1,0
17,23,0,1
17,24,2,1
17,26,0,1
17,27,0,0
17,28,2,0
18,0,2,2
18,1,1,3
18,2,0,5
18,3,0,1
18,5,2,4
18,6,2,2
18,7,1,1
18,8,0,2
18,10,1,1
18,11,2,1
18,13,1,2
18,14,2,0
18,15,1,2
18,16,0,2
18,17,1,5
18,18,2,1
18,21,0,2
18,22,0,1
18,23,0,3
18,24,0,2
18,26,1,3
18,27,0,2
18,28,2,1
18,29,2,5
19,0,2,0
19,1,2,4
19,2,2,5
19,3,1,5
19,4,2,2
19,5,1,3
19,6,1,4
19,8,0,1
19,9,0,5
19,10,2,5
19,12,0,4
19,13,1,0
19,14,0,4
19,15,2,5
19,16,1,2
19,17,0,4
19,18,0,2
19,19,2,2
19,20,1,0
19,21,2,1
19,22,1,1
19,23,0,2
19,24,1,4
19,25,0,2
19,27,1,2
19,29,2,0
20,0,0,0
20,1,2,0
20,2,2,3
20,3,1,2
20,4,0,2
20,5,2,1
20,6,2,1
20,7,1,2
20,8,2,5
20,9,1,5
20,10,0,5
20,11,1,0
20,12,1,3
20,13,2,1
20,15,0,0
20,16,0,1
20,17,2,3
20,18,2,5
20,19,1,0
20,20,0,3
20,21,2,1
20,22,2,3
20,24,1,2
20,25,0,1
20,26,0,5
20,27,1,2
20,29,0,3
21,0,1,2
21,2,0,4
21,3,0,3
21,4,2,5
21,5,1,3
21,6,2,0
21,7,2,1
21,8,1,2
21,9,0,1
21,10,0,1
21,11,0,3
21,12,0,4
21,13,1,3
21,15,2,1
21,16,2,2
21,17,1,1
21,18,0,5
21,21,2,3
21,23,1,2
21,24,0,4
21,25,2,5
21,27,0,1
21,28,0,5
21,29,0,5
22,0,2,0
22,1,1,2
22,2,0,1
22,3,2,2
22,4,2,0
22,6,2,2
22,7,1,5
22,8,2,4
22,10,2,1
22,11,1,4
22,12,2,2
22,13,2,5
22,14,2,2
22,15,1,0
22,16,1,1
22,17,1,1
22,18,1,4
22,19,0,3
22,20,2,1
22,22,2,4
22,25,2,3
22,26,1,0
22,27,0,4
22,28,1,3
22,29,1,5
23,0,0,4
23,1,2,2
23,2,2,1
23,3,2,1
23,4,2,5
23,5,1,0
23,6,1,2
23,7,2,5
23,8,1,1
23,9,0,2
23,10,0,4
23,11,0,1
23,12,1,5
23,13,0,0
23,14,0,0
23,15,1,3
23,17,0,1
23,18,1,3
23,19,0,0
23,20,1,1
23,21,1,0
23,22,2,2
23,23,2,1
23,24,2,1
23,27,2,1
23,28,2,5
23,29,2,2
24,0,0,3
24,1,0,0
24,2,1,2
24,3,0,4
24,4,1,3
24,5,0,5
24,7,0,3
24,8,1,3
24,10,1,4
24,11,0,0
24,12,1,4
24,13,1,3
24,14,1,2
24,15,2,3
24,16,2,1
24,18,0,4
24,19,0,1
24,21,0,5
24,22,0,4
24,23,0,1
24,24,1,0
24,25,0,1
24,26,0,4
24,27,0,5
24,28,0,0
24,29,2,1
25,0,2,5
25,1,1,2
25,2,1,4
25,3,2,5
25,4,2,3
25,5,1,2
25,6,1,2
25,7,0,5
25,8,1,0
25,9,2,4
25,12,1,2
25,13,2,2
25,14,1,0
25,15,1,2
25,16,1,0
25,17,0,5
25,19,2,2
25,20,2,3
25,21,1,3
25,22,1,2
25,24,0,0
25,26,2,1
25,27,2,0
25,28,1,2
26,0,2,1
26,1,2,3
26,2,1,1
26,3,0,5
26,4,1,1
26,5,2,5
26,6,1,1
26,7,2,2
26,8,1,3
26,9,1,2
26,10,2,0
26,11,1,2
26,14,2,3
26,15,2,2
26,16,2,0
26,17,2,0
26,18,1,2
26,20,2,1
26,21,1,2
26,22,1,0
26,23,1,1
26,24,2,2
26,25,2,4
26,27,2,2
26,28,1,4
27,1,1,3
27,2,1,3
27,3,1,2
27,4,0,5
27,5,1,2
27,7,2,5
27,8,2,1
27,9,1,1
27,10,0,4
27,11,2,1
27,13,1,5
27,14,0,2
27,15,2,5
27,16,1,4
27,17,0,2
27,18,0,1
27,20,0,2
27,22,2,5
27,23,1,1
27,24,2,0
27,25,1,2
27,26,1,0
27,27,1,0
27,29,1,2
28,0,0,1
28,1,0,4
28,2,0,0
28,3,0,0
28,4,1,2
28,5,1,1
28,6,2,3
28,7,2,2
28,8,2,2
28,9,2,5
28,10,2,2
28,12,1,2
28,13,0,2
28,14,1,2
28,15,2,4
28,16,1,2
28,17,2,2
28,19,0,2
28,20,0,1
28,21,0,4
28,22,1,2
28,24,0,1
28,25,2,2
28,28,1,0
29,0,2,1
29,1,2,5
29,2,2,2
29,3,2,4
29,5,0,4
29,6,0,1
29,7,0,1
29,8,0,0
29,9,1,2
29,10,0,2
29,11,1,2
29,12,0,1
29,13,1,4
29,14,2,2
29,15,2,2
29,16,1,3
29,17,1,2
29,18,2,1
29,19,1,2
29,20,1,2
29,21,0,0
29,22,0,2
29,24,1,3
29,25,1,1
29,26,1,2
29,27,1,3
29,28,0,1
30,0,1,4
30,1,0,0
30,2,1,5
30,3,1,0
30,4,0,1
30,5,0,2
30,6,1,3
30,7,2,4
30,8,1,4
30,9,0,3
30,10,1,2
30,11,0,0
30,12,1,5
30,13,2,1
30,14,2,4
30,16,1,2
30,17,0,1
30,18,0,3
30,19,0,4
30,22,0,4
30,23,0,4
30,24,1,2
30,25,1,0
30,26,1,5
30,27,0,4
30,28,0,4
30,29,0,1
31,0,0,0
31,1,0,0
31,2,0,0
31,3,0,5
31,4,0,0
31,5,0,4
31,6,2,3
31,7,1,0
31,8,0,2
31,9,0,0
31,10,0,5
31,11,0,0
31,12,2,3
31,14,0,0
31,15,0,1
31,16,0,0
31,17,1,0
31,18,0,0
31,19,0,0
31,20,2,1
31,22,0,1
31,23,0,5
31,24,1,0
31,25,1,5
31,26,0,0
31,27,0,2
31,28,2,4
32,0,0,0
32,1,1,5
32,2,1,1
32,5,1,5
32,6,0,0
32,7,0,0
32,9,0,2
32,11,0,2
32,12,1,5
32,13,0,1
32,14,0,0
32,15,1,2
32,16,0,2
32,18,2,5
32,19,1,5
32,20,0,3
